Source Page,Event Date,Number of Shows,Headliner,Support,Venue,City,State,Country,Market,Venue Type,Currency,Promoter,Genre,Tickets Sold,Gross USD,Event Capacity,Capacity Sold %,Min Price USD,Max Price USD,Avg Price USD,Actions
Page 2,4/9/2024,1,Elle Varner,,City Winery Atlanta,Atlanta,Georgia,United States,Atlanta,Club,US DOLLAR,(In-House Promotion),RB / Soul,288,16070.00,312,92%,47.00,60.00,55.80,
Page 2,4/9/2024,1,Drum Tao,,The Smith Center / Reynolds Hall,Las Vegas,Nevada,United States,Las Vegas,Auditorium / Theatre,US DOLLAR,(In-House Promotion),World,"1,728",85575.60,"2,013",85%,30.00,84.00,49.52,
Page 2,4/9/2024,1,Noah Kahan,Jensen McRae,Canadian Tire Centre,Ottawa,Ontario,Canada,,Arena,Canadian,Live Nation,Pop / Rock,"13,139",1156214.77,"13,243",99%,36.44,183.68,88.00,
Page 2,4/9/2024,1,The Mountain Goats,Katy Kirby,The Kalamazoo State Theatre,Kalamazoo,Michigan,United States,Grand Rapids-Kalamazoo-Battle Creek,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Pop / Rock,836,43365.00,"1,462",57%,32.50,70.00,51.87,
Page 2,4/9/2024,1,Lion King Jr.,,Dennis C. Moss Cultural Arts Center - Mainstage,Cutler Bay,Florida,United States,Miami-Ft. Lauderdale,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Theatrical,352,7833.00,961,36%,15.00,25.00,22.25,
Page 2,4/9/2024,1,Paloma Faith,,Sheffield City Hall,Sheffield,,United Kingdom,,Auditorium / Theatre,Pound Sterling,SJM,RB / Soul,"2,013",141737.30,"2,094",96%,44.29,137.94,70.41,
Page 2,4/9/2024,1,AJR,Dean Lewis,PNC Arena,Raleigh,North Carolina,United States,Raleigh-Durham (Fayetteville),Arena,US DOLLAR,Live Nation,Pop / Rock,"8,300",621400.00,"9,997",83%,49.50,129.50,74.87,
Page 2,4/9/2024,1,"""Paw Patrol Live!""",,Santander Arena,Reading,Pennsylvania,United States,Philadelphia,Arena,US DOLLAR,Vstar Entertainment Group,Theatrical,"1,335",63234.00,"1,711",78%,25.00,125.00,47.37,
Page 2,4/9/2024,1,53 Thieves,,Purgatory At The Masquerade,Atlanta,Georgia,United States,Atlanta,Club,US DOLLAR,(In-House Promotion),Pop / Rock,227,3444.00,300,75%,15.00,18.00,15.17,
Page 2,4/9/2024,1,"""MOMIX - Alice""",,Fox Cities Performing Arts Center,Appleton,Wisconsin,United States,Green Bay-Appleton,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Theatrical,975,21787.50,"1,247",78%,25.50,25.50,22.35,
Page 2,4/9/2024,1,Annie DiRusso,Caleb Hearon,Bimbo's 365 Club,San Francisco,California,United States,San Francisco-Oakland-San Jose,Club,US DOLLAR,Another Planet Entertainment,Pop / Rock,485,14309.50,700,69%,29.50,30.00,29.50,
Page 2,4/9/2024,1,Stephane Wrembel,,The Tin Pan,Richmond,Virginia,United States,Richmond-Petersburg,Club,US DOLLAR,(In-House Promotion),Pop / Rock,29,750.00,220,13%,25.00,30.00,25.86,
