month,category,Volume
2021-09-01 00:00:00,Health,246173
2026-04-01 00:00:00,Financials,46269114.13000003
2021-07-01 00:00:00,Politics,4110
2026-02-01 00:00:00,Unknown,107185595
2025-12-01 00:00:00,Companies,9988109
2026-01-01 00:00:00,Politics,280319606
2021-08-01 00:00:00,Transportation,211843
2022-02-01 00:00:00,Science and Technology,4104
2023-06-01 00:00:00,Science and Technology,11390
2025-12-01 00:00:00,Elections,5936409
2022-07-01 00:00:00,Transportation,135352
2024-01-01 00:00:00,Companies,83477
2022-01-01 00:00:00,World,68152
2024-11-01 00:00:00,World,11685
2024-08-01 00:00:00,Financials,13177473
2024-09-01 00:00:00,Entertainment,933540
2025-02-01 00:00:00,Elections,1191119
2021-12-01 00:00:00,Science and Technology,46455
2025-06-01 00:00:00,Education,545
2022-07-01 00:00:00,Climate and Weather,702525
2024-10-01 00:00:00,Elections,59436426
2025-03-01 00:00:00,Education,735
2026-01-01 00:00:00,Elections,7157026
2024-01-01 00:00:00,Science and Technology,62374
2023-07-01 00:00:00,Transportation,17020
2025-05-01 00:00:00,Companies,1115714
2021-12-01 00:00:00,Health,1331648
2024-02-01 00:00:00,Climate and Weather,1039769
2021-08-01 00:00:00,Politics,38477
2023-09-01 00:00:00,Politics,545481
2025-09-01 00:00:00,Social,1852726
2026-03-01 00:00:00,Exotics,1229908920
2023-02-01 00:00:00,Science and Technology,1116
2024-01-01 00:00:00,Health,9033
2025-04-01 00:00:00,Crypto,31410309
2026-01-01 00:00:00,Education,0
2022-04-01 00:00:00,World,176693
2022-07-01 00:00:00,Financials,4335534
2023-11-01 00:00:00,Climate and Weather,578118
2023-12-01 00:00:00,Transportation,10328
2024-06-01 00:00:00,Transportation,75961
2025-10-01 00:00:00,Science and Technology,4737717
2025-06-01 00:00:00,Politics,37684733
2023-07-01 00:00:00,Companies,932
2026-01-01 00:00:00,Entertainment,64267988
2026-02-01 00:00:00,Companies,90385166
2022-11-01 00:00:00,Entertainment,0
2023-06-01 00:00:00,Entertainment,1732
2024-03-01 00:00:00,Companies,344243
2025-02-01 00:00:00,Financials,6717821
2024-03-01 00:00:00,Financials,23550325
2022-12-01 00:00:00,Health,73426
2024-07-01 00:00:00,Politics,879427
2024-09-01 00:00:00,Science and Technology,74665
2026-03-01 00:00:00,Transportation,223
2024-01-01 00:00:00,World,32923
2024-06-01 00:00:00,Economics,3952623
2024-10-01 00:00:00,Crypto,3942011
2024-08-01 00:00:00,Politics,812986
2021-06-01 00:00:00,Economics,5
2021-11-01 00:00:00,Politics,853421
2021-12-01 00:00:00,Economics,184571
2023-10-01 00:00:00,Science and Technology,14650
2024-03-01 00:00:00,Climate and Weather,1012694
2024-09-01 00:00:00,Companies,142078
2025-08-01 00:00:00,Entertainment,15105810
2026-02-01 00:00:00,World,1197498
2021-09-01 00:00:00,Transportation,145267
2025-07-01 00:00:00,Climate and Weather,12988978
2026-03-01 00:00:00,Companies,17498297.34
2024-05-01 00:00:00,Science and Technology,97733
2024-11-01 00:00:00,Entertainment,12415515
2025-05-01 00:00:00,Education,787
2026-02-01 00:00:00,Economics,36199520
2024-05-01 00:00:00,Companies,244446
2025-10-01 00:00:00,Politics,123958621
2024-09-01 00:00:00,Transportation,48341
2025-09-01 00:00:00,Politics,43906169
2023-10-01 00:00:00,Transportation,69553
2025-07-01 00:00:00,Financials,10958376
2025-06-01 00:00:00,Sports,619821918
2025-03-01 00:00:00,Entertainment,15902894
2026-01-01 00:00:00,Science and Technology,9734106
2022-07-01 00:00:00,Science and Technology,5904
2024-02-01 00:00:00,Transportation,33222
2025-10-01 00:00:00,Economics,48077029
2025-02-01 00:00:00,Climate and Weather,19284994
